CPT1A,C180CPT1
CPT1C,C180CPT1
CPT1B,C181CPT1
CPT1A,C181CPT1
CPT1C,C181CPT1
CPT1B,C204CPT1
CPT1A,C204CPT1
CPT1C,C204CPT1
CPT1B,C226CPT1
CPT1A,C226CPT1
CPT1C,C226CPT1
CPT1B,CLPNDCPT1
CPT1A,CLPNDCPT1
CPT1C,CLPNDCPT1
CRAT,CSNAT2m
CRAT,CSNAT3x
CPT1B,DCSPTN1CPT1
CPT1A,DCSPTN1CPT1
CPT1C,DCSPTN1CPT1
CPT1B,DLNLCGCPT1
CPT1A,DLNLCGCPT1
CPT1C,DLNLCGCPT1
CPT1B,EICOSTETCPT1
CPT1A,EICOSTETCPT1
CPT1C,EICOSTETCPT1
CPT1B,ELAIDCPT1
CPT1A,ELAIDCPT1
CPT1C,ELAIDCPT1
CPT1B,HEXCCPT1
CPT1A,HEXCCPT1
CPT1C,HEXCCPT1
CPT1B,HPDCACRNCPT1
CPT1A,HPDCACRNCPT1
CPT1C,HPDCACRNCPT1
CPT1B,LGNCCPT1
CPT1A,LGNCCPT1
CPT1C,LGNCCPT1
CPT1B,LNELDCCPT1
CPT1A,LNELDCCPT1
CPT1C,LNELDCCPT1
CPT1B,LNLCCPT1
CPT1A,LNLCCPT1
CPT1C,LNLCCPT1
CPT1B,LNLNCACPT1
CPT1A,LNLNCACPT1
CPT1C,LNLNCACPT1
CPT1B,LNLNCGCPT1
CPT1A,LNLNCGCPT1
CPT1C,LNLNCGCPT1
CPT1B,NRVNCCPT1
CPT1A,NRVNCCPT1
CPT1C,NRVNCCPT1
CPT1B,PTDCACRNCPT1
CPT1A,PTDCACRNCPT1
CPT1C,PTDCACRNCPT1
CPT1B,RTOTAL2CRNCPT1
CPT1A,RTOTAL2CRNCPT1
CPT1C,RTOTAL2CRNCPT1
CPT1B,RTOTAL3CRNCPT1
CPT1A,RTOTAL3CRNCPT1
CPT1C,RTOTAL3CRNCPT1
CPT1B,RTOTALCRNCPT1
CPT1A,RTOTALCRNCPT1
CPT1C,RTOTALCRNCPT1
CPT1B,STRDNCCPT1
CPT1A,STRDNCCPT1
CPT1C,STRDNCCPT1
CPT1B,TETPENT3CPT1
CPT1A,TETPENT3CPT1
CPT1C,TETPENT3CPT1
CPT1B,TETPENT6CPT1
CPT1A,TETPENT6CPT1
CPT1C,TETPENT6CPT1
CPT1B,TETTET6CPT1
CPT1A,TETTET6CPT1
CPT1C,TETTET6CPT1
CPT1B,TMNDNCCPT1
CPT1A,TMNDNCCPT1
CPT1C,TMNDNCCPT1
CPT1B,TTDCPT1
CPT1A,TTDCPT1
CPT1C,TTDCPT1
CPT1B,VACCCPT1
CPT1A,VACCCPT1
CPT1C,VACCCPT1
CPT2,ADRNCPT2
SLC25A20,ADRNCRNt
CPT2,ARACHCPT2
SLC25A20,ARACHCRNt
CPT2,C160CPT2
SLC25A20,C160CRNt
CPT2,C161CPT2
CPT2,C161CPT22
SLC25A20,C161CRN2t
SLC25A20,C161CRNt
CPT2,C180CPT2
SLC25A20,C180CRNt
CPT2,C181CPT2
SLC25A20,C181CRNt
CPT2,C204CPT2
CPT2,C226CPT2
CPT2,CLPNDCPT2
SLC25A20,CLPNDCRNt
CPT2,DCSPTN1CPT2
SLC25A20,DCSPTN1CRNt
CPT2,DLNLCGCPT2
SLC25A20,DLNLCGCRNt
CPT2,EICOSTETCPT2
SLC25A20,EICOSTETCRNt
CPT2,ELAIDCPT2
SLC25A20,ELAIDCRNt
CPT2,HEXCCPT2
SLC25A20,HEXCCRNt
CPT2,HPDCACRNCPT2
SLC25A20,HPDCACRNt
SLC25A20,LNLNCACRNt
CPT2,LGNCCPT2
SLC25A20,LGNCCRNt
CPT2,LNELDCCPT2
SLC25A20,LNELDCCRNt
CPT2,LNLCCPT2
SLC25A20,LNLCCRNt
CPT2,LNLNCACPT2
CPT2,LNLNCGCPT2
SLC25A20,LNLNCGCRNt
CPT2,NRVNCCPT2
SLC25A20,NRVNCCRNt
CPT2,PTDCACRNCPT2
SLC25A20,PTDCACRNt
CPT2,RTOTAL2CRNCPT2
SLC25A20,RTOTAL2CRNt
CPT2,RTOTAL3CRNCPT2
SLC25A20,RTOTAL3CRNt
CPT2,RTOTALCRNCPT2
SLC25A20,RTOTALCRNt
CPT2,STRDNCCPT2
SLC25A20,STRDNCCRNt
CPT2,TETPENT3CPT2
SLC25A20,TETPENT3CRNt
CPT2,TETPENT6CPT2
SLC25A20,TETPENT6CRNt
CPT2,TETTET6CPT2
SLC25A20,TETTET6CRNt
CPT2,TMNDNCCPT2
SLC25A20,TMNDNCCRNt
CPT2,TTDCPT2
SLC25A20,TTDCRNt
CPT2,VACCCPT2
SLC25A20,VACCCRNt
ACAT2,ACACT1x
HSD17B4,C3STKR2r
GGPS1,DMATT
FDPS,DMATTx
MVD,DPMVDx
GGPS1,FRTT
GGPS1,GRTT
FDPS,GRTTx
HMGCR,HMGCOARr
HMGCR,HMGCOARx
HMGCS1,HMGCOASi
HMGCS2,HMGCOASim
HMGCLL1,HMGLm
HMGCL,HMGLm
HMGCL,HMGLx
IDI1,IPDDIx
IDI2,IPDDIx
CYP51A1,LNS14DMr
LSS,LNSTLSr
MVK,MEVK1x
PMVK,PMEVKx
FDFT1,SQLSr
TM7SF2,C14STRr
NSDHL,C3STDH1Pr
NSDHL,C3STDH1r
MSMO1,C4STMO1r
NSDHL,C4STMO2Pr
MSMO1,C4STMO2r
NSDHL,C4STMO2r
DHCR24,DHCR241r
DHCR24,DHCR242r
DHCR24,DHCR243r
DHCR7,DHCR71r
DHCR7,DHCR72r
EBP,EBP1r
EBP,EBP2r
CYP4F8,LNS14DM
SC5D,LSTO1r
SC5D,LSTO2r
SOAT1,SOAT11
SOAT1,SOAT11r
SOAT1,SOAT12
SOAT1,SOAT12r
SQLE,SQLEr
B4GALT7,GALTg
B3GAT3,GLCATg
B3GAT1,GLCATg
B3GAT2,GLCATg
