Gene,Cell Line,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
IMPA1,U251,0.0179725,0.0,1.91025669697,0.0,0.0,0.00961752380952,0.6179696,0.0,0.0,0.0025,0.436948805556,0.0,0.0280918,0.0,0.0,0.986761965517,0.0,1.7747967,0.0,0.5901456,0.61510975,0.0,0.0,0.0,0.0097446,0.0090555,4.64626865672e-05,0.0108014761905,0.011556,0.0,-0.90682815,0.0,0.0,0.990892,-0.0020104666666700003,-2.0428393,0.0,0.0,0.00161742857143,-4.86315789474e-05,3.11111111111,0.0,9.31012658228e-05,0.0,0.010608666666700002,0.0,0.00718572727273,0.00941619047619,0.047739,0.938609813953,0.0,1.68561572,0.00693182758621,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.45943161864,9.614,BV,IN,-0.251450778548,400.0,NEUTRAL,GAIN,NEUTRAL
IMPDH1,SF268,0.224251416667,0.0,0.636363636364,0.0,0.0,0.00119047619048,-0.0280428666667,0.0,0.0,0.0075,0.0231996388889,0.0,0.0,0.0,0.0,0.7625606551719999,0.0,-2.1916112,0.0,0.1083301,-0.092817,0.0914258,0.0,0.0,0.015,0.0,0.0,0.0119047619048,0.0,0.0,0.90678645,0.0,0.0,0.50608025,0.504910266667,0.0,0.0,0.0,0.0,0.07774463157889999,0.7843725185189999,0.0,0.0,0.0,0.0,0.0,0.0,0.00952380952381,0.0,0.982558139535,0.0,1.6840000000000002,0.00769796551724,14,2,7,9,6,3,6,100,11,12,100,5,13,12,100,6,6,6,100,9,7,7,7,7,100,10,100,100,100,100,100,100,11,10,100,7,100,100,100,11,11,8,7,100,15,8,10,7,8,13,100,8,7,7,7,100,100,8,6,8,8,12,8,11,100,100,7,12,100,8,13,100,100,12,12,100,8,1830,1123,4.16992500144,5.55,AF,CA,0.13478793544099998,2100.0,NEUTRAL,GAIN,UPREG
IMPDH1,SF539,0.170833333333,0.0,0.637878787879,0.0,0.0,0.00119047619048,-0.051909,0.0,0.0,0.0075,0.04535691666669999,0.0,0.0,0.0,0.0,0.756009413793,0.0,-2.225,0.0,0.057998933333300015,0.00288846428571,0.0,0.0,0.0,0.015,0.0,0.0,0.0119047619048,0.0,0.0,0.9618799,0.0,0.0,0.4318685,0.4705922000000001,0.0,0.0,0.0,0.0,0.045931578947400006,2.43107437037,0.0,0.0,0.0,0.0111111111111,0.0,0.0,0.00952380952381,0.05,0.493023255814,0.0,1.7422689999999998,0.00958931034483,14,2,7,9,6,3,6,100,11,12,100,5,13,12,100,6,6,6,100,9,7,7,7,7,100,10,100,100,100,100,100,100,11,10,100,7,100,100,100,11,11,8,7,100,15,8,10,7,8,13,100,8,7,7,7,100,100,8,6,8,8,12,8,11,100,100,7,12,100,8,13,100,100,12,12,100,8,1830,1123,4.16992500144,5.006,AF,CA,0.13478793544099998,2100.0,NEUTRAL,GAIN,UPREG
IMPDH1,SNB-19,0.33392216666700003,0.0,0.637878787879,0.0,0.0,0.00119047619048,0.042838,0.0,0.0,0.0075,0.105040777778,0.0,0.0,0.0,0.0,0.722068965517,0.0,1.9512314,0.113135444444,0.130377833333,-0.0389375357143,0.252362,0.0,0.0,0.015,0.0,0.0352111641791,0.0119047619048,0.00125,0.0,-1.04803965,0.0,0.0,1.02298275,1.2127624,0.0,0.0,0.0,0.0,0.06476684210530001,3.07394681481,0.0,0.0,0.0,0.0111111111111,0.00166666666667,0.0,0.00952380952381,0.05,0.988488372093,0.0,1.6864,0.0275862068966,14,2,7,9,6,3,6,100,11,12,100,5,13,12,100,6,6,6,100,9,7,7,7,7,100,10,100,100,100,100,100,100,11,10,100,7,100,100,100,11,11,8,7,100,15,8,10,7,8,13,100,8,7,7,7,100,100,8,6,8,8,12,8,11,100,100,7,12,100,8,13,100,100,12,12,100,8,1830,1123,4.16992500144,6.066,AF,CA,0.13478793544099998,2100.0,NEUTRAL,GAIN,UPREG
IMPDH1,SNB-75,0.1375,0.0,0.07998933333330001,0.0,0.0,0.00119047619048,0.017715400000000003,0.0,0.0,0.0,0.0559346111111,0.0,0.0,0.0,0.0,0.727586206897,0.0,-2.195,0.0,0.01,-0.0918908571429,0.0,0.0,0.0,0.0,0.0,0.0,0.00952380952381,0.0,0.0,0.97394335,0.0,0.0,0.16425875,0.6596009333330001,-2.1,0.0,0.0,0.0,0.0311248421053,1.57569707407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607216023256,0.0,0.8440000000000001,0.0182099655172,14,2,7,9,6,3,6,100,11,12,100,5,13,12,100,6,6,6,100,9,7,7,7,7,100,10,100,100,100,100,100,100,11,10,100,7,100,100,100,11,11,8,7,100,15,8,10,7,8,13,100,8,7,7,7,100,100,8,6,8,8,12,8,11,100,100,7,12,100,8,13,100,100,12,12,100,8,1830,1123,4.16992500144,5.854,AF,CA,0.13478793544099998,2100.0,NEUTRAL,GAIN,UPREG
IMPDH1,U251,0.256241,0.0,0.00151515151515,0.0,0.0,0.00119047619048,-0.494417,0.0,0.0,0.005,0.320104361111,0.0,0.0,0.0,0.0,0.736206896552,0.0,1.9435764,0.058831666666699985,0.013333333333299998,0.17787650000000002,0.0,0.0,0.0,0.015,0.0,0.0,0.0119047619048,0.0,0.0,-0.7694061,0.0,0.0,0.990892,0.5395592,0.0,0.0,0.0,0.0,0.0,2.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.00952380952381,0.0,0.00581395348837,0.0,0.846,-0.221250172414,14,2,7,9,6,3,6,100,11,12,100,5,13,12,100,6,6,6,100,9,7,7,7,7,100,10,100,100,100,100,100,100,11,10,100,7,100,100,100,11,11,8,7,100,15,8,10,7,8,13,100,8,7,7,7,100,100,8,6,8,8,12,8,11,100,100,7,12,100,8,13,100,100,12,12,100,8,1830,1123,4.16992500144,5.2970000000000015,AF,CA,0.13478793544099998,2100.0,NEUTRAL,GAIN,UPREG
INMT,SF268,0.0235921666667,0.0,1.27412493939,0.0,0.0,0.00940123809524,0.366971466667,0.0,0.0,0.004982,0.288950083333,0.0,0.02752976,0.0,0.0,1.0259022069,0.0,1.9033101000000003,0.191331222222,0.6752306333329999,0.456277428571,0.0,0.0,0.0,0.0098499,0.008874,4.70298507463e-05,0.0108235714286,0.0111745,0.0,-0.8987444,0.0,0.0,1.15626375,-0.00196786666667,-2.0984245,0.0,0.0,0.00158514285714,7.14736842105e-05,0.510494148148,0.0,9.12025316456e-05,0.0,0.0106188888889,0.0,0.00704190909091,0.00941828571429,0.047785,-0.0253195581395,0.0,0.84592024,-0.00220327586207,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,1.87446911923,2.286,AX,CA,2.76677149807,1900.0,UPREG,GAIN,NEUTRAL
INMT,SF539,0.0310033333333,0.0,1.91050148485,0.0,0.0,0.00823647619048,0.35977113333300004,0.0,0.0,0.004984000000000001,0.315191583333,0.0,0.0245028,0.0,0.0,0.91003837931,0.0,-2.1533156000000004,0.0,0.4162146,0.402972428571,0.0,0.0,0.0,0.010416,0.00789825,5.00597014925e-05,0.0109424285714,0.0091215,0.0,1.06994075,0.0,0.0,0.8427965000000001,-0.0017392666666700002,-0.0065468,0.0,0.0,0.0024005714285700004,6.36315789474e-05,0.605882296296,0.0,8.12025316456e-05,0.0,0.0106728888889,0.0,0.00626763636364,0.0094299047619,0.048028,0.499426860465,0.0,1.68790928,0.016095793103399997,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,1.87446911923,2.297,AX,CA,2.76677149807,1900.0,UPREG,GAIN,NEUTRAL
INMT,SNB-19,-0.0041405,0.0,1.27416963636,0.0,0.0,0.00925585714286,0.400394866667,0.0,0.0,0.00162,0.370832805556,0.0,0.0271522,0.105914275862,0.0,0.942462034483,0.0,1.8153733,0.0,0.4914868,0.822094071429,0.0,0.0,0.0,0.0099204,0.0087525,4.74029850746e-05,0.0108383809524,0.0109185,0.0,-0.91099495,0.0,0.0,0.75762925,-0.00193946666667,-2.098412,0.0,0.0,0.002341,-4.7e-05,-0.840874814815,0.0,9e-05,0.0,0.0106255555556,0.0,0.00694536363636,0.00941980952381,0.047815,-0.0109170697674,0.0,0.84597824,-0.00174279310345,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,1.87446911923,2.286,AX,CA,2.76677149807,1900.0,UPREG,GAIN,NEUTRAL
INMT,SNB-75,0.0352009166667,0.0,1.9105084242400003,0.0,0.0,0.00762504761905,0.270775133333,0.0,0.0,0.0061879,0.572692916667,0.0,0.022878,0.0,0.0,0.884956206897,0.0,-2.1576321,0.0,0.360495366667,0.415303642857,0.0,0.0,0.0,0.0107199,0.00737475,5.16865671642e-05,0.0110062857143,0.008019,0.0,1.0747815,0.0,0.0,0.45821425,-0.0016167999999999998,0.0017315000000000002,0.0,0.0,0.00131728571429,-3.95789473684e-05,1.95764192593,0.0,7.58227848101e-05,0.0,0.010702,0.0,0.005852,0.00943619047619,0.048159,0.46829327907,0.0,1.68593372,0.0174442413793,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,1.87446911923,2.286,AX,CA,2.76677149807,1900.0,UPREG,GAIN,NEUTRAL
