genelistrounded,grRatio,CL,Gene,Cell Line
316,1,DU-145,AOX1,DU-145
22978,1,DU-145,NT5C2,DU-145
3141,1,DU-145,HLCS,DU-145
60386,1,DU-145,SLC25A19,DU-145
9420,1,DU-145,CYP7B1,DU-145
7173,1,DU-145,TPO,DU-145
8897,1,DU-145,MTMR3,DU-145
51268,1,DU-145,PIPOX,DU-145
30,1,DU-145,ACAA1,DU-145
1757,1,DU-145,SARDH,DU-145
6526,1,DU-145,SLC5A3,DU-145
6783,1,DU-145,SULT1E1,DU-145
2588,1,DU-145,GALNS,DU-145
2720,1,DU-145,GLB1,DU-145
4758,1,DU-145,NEU1,DU-145
5476,1,DU-145,CTSA,DU-145
1376,1,DU-145,CPT2,DU-145
64078,1,DU-145,SLC28A3,DU-145
3156,0,DU-145,HMGCR,DU-145
5287,1,DU-145,PIK3C2B,DU-145
85365,1,DU-145,ALG2,DU-145
117283,1,DU-145,IP6K3,DU-145
51447,1,DU-145,IP6K2,DU-145
9807,1,DU-145,IP6K1,DU-145
1962,1,DU-145,EHHADH,DU-145
51,1,DU-145,ACOX1,DU-145
6535,1,DU-145,SLC6A8,DU-145
6537,1,DU-145,SLC6A10P,DU-145
8836,1,DU-145,GGH,DU-145
211,1,DU-145,ALAS1,DU-145
212,1,DU-145,ALAS2,DU-145
23464,1,DU-145,GCAT,DU-145
223,1,DU-145,ALDH9A1,DU-145
6723,1,DU-145,SRM,DU-145
125206,1,DU-145,SLC5A10,DU-145
159963,1,DU-145,SLC5A12,DU-145
200010,1,DU-145,SLC5A9,DU-145
6524,1,DU-145,SLC5A2,DU-145
6548,1,DU-145,SLC9A1,DU-145
6549,1,DU-145,SLC9A2,DU-145
6550,1,DU-145,SLC9A3,DU-145
10164,1,DU-145,CHST4,DU-145
23563,1,DU-145,CHST5,DU-145
4166,1,DU-145,CHST6,DU-145
9435,1,DU-145,CHST2,DU-145
1610,1,DU-145,DAO,DU-145
5226,1,DU-145,PGD,DU-145
4833,1,DU-145,NME4,DU-145
18,1,DU-145,ABAT,DU-145
9942,0.99987646,DU-145,XYLB,DU-145
124935,1,DU-145,SLC43A2,DU-145
8501,1,DU-145,SLC43A1,DU-145
2987,0,DU-145,GUK1,DU-145
11046,1,DU-145,SLC35D2,DU-145
23443,1,DU-145,SLC35A3,DU-145
84912,1,DU-145,SLC35B4,DU-145
19,1,DU-145,ABCA1,DU-145
6578,1,DU-145,SLCO2A1,DU-145
10087,1,DU-145,CERT1,DU-145
790,0,DU-145,CAD,DU-145
23556,1,DU-145,PIGN,DU-145
1588,1,DU-145,CYP19A1,DU-145
1571,1,DU-145,CYP2E1,DU-145
6583,1,DU-145,SLC22A4,DU-145
22928,1,DU-145,SEPHS2,DU-145
22929,1,DU-145,SEPHS1,DU-145
4953,1,DU-145,ODC1,DU-145
8566,1,DU-145,PDXK,DU-145
54480,1,DU-145,CHPF2,DU-145
9380,1,DU-145,GRHPR,DU-145
3612,1,DU-145,IMPA1,DU-145
3613,1,DU-145,IMPA2,DU-145
9415,1,DU-145,FADS2,DU-145
6566,0.992105883,DU-145,SLC16A1,DU-145
7355,1,DU-145,SLC35A2,DU-145
50814,0,DU-145,NSDHL,DU-145
9563,1,DU-145,H6PD,DU-145
4363,1,DU-145,ABCC1,DU-145
4860,1,DU-145,PNP,DU-145
3284,1,DU-145,HSD3B2,DU-145
3620,1,DU-145,IDO1,DU-145
10846,1,DU-145,PDE10A,DU-145
50940,1,DU-145,PDE11A,DU-145
5136,1,DU-145,PDE1A,DU-145
5137,1,DU-145,PDE1C,DU-145
5138,1,DU-145,PDE2A,DU-145
5139,1,DU-145,PDE3A,DU-145
5140,1,DU-145,PDE3B,DU-145
5145,1,DU-145,PDE6A,DU-145
5146,1,DU-145,PDE6C,DU-145
5147,1,DU-145,PDE6D,DU-145
5148,1,DU-145,PDE6G,DU-145
5149,1,DU-145,PDE6H,DU-145
5152,1,DU-145,PDE9A,DU-145
5153,1,DU-145,PDE1B,DU-145
5158,1,DU-145,PDE6B,DU-145
8654,1,DU-145,PDE5A,DU-145
160287,1,DU-145,LDHAL6A,DU-145
3939,1,DU-145,LDHA,DU-145
3945,1,DU-145,LDHB,DU-145
3948,1,DU-145,LDHC,DU-145
55293,1,DU-145,UEVLD,DU-145
92483,1,DU-145,LDHAL6B,DU-145
343,1,DU-145,AQP8,DU-145
113026,1,DU-145,PLCD3,DU-145
23007,1,DU-145,PLCH1,DU-145
23236,1,DU-145,PLCB1,DU-145
257068,1,DU-145,PLCXD2,DU-145
51196,1,DU-145,PLCE1,DU-145
5330,1,DU-145,PLCB2,DU-145
5331,1,DU-145,PLCB3,DU-145
5332,1,DU-145,PLCB4,DU-145
5333,1,DU-145,PLCD1,DU-145
5334,1,DU-145,PLCL1,DU-145
5335,1,DU-145,PLCG1,DU-145
5336,1,DU-145,PLCG2,DU-145
84812,1,DU-145,PLCD4,DU-145
89869,1,DU-145,PLCZ1,DU-145
9651,1,DU-145,PLCH2,DU-145
5281,1,DU-145,PIGF,DU-145
54872,1,DU-145,PIGG,DU-145
8034,0.993298664,DU-145,SLC25A16,DU-145
8525,1,DU-145,DGKZ,DU-145
9162,1,DU-145,DGKI,DU-145
1786,1,DU-145,DNMT1,DU-145
1787,1,DU-145,TRDMT1,DU-145
1788,1,DU-145,DNMT3A,DU-145
1789,1,DU-145,DNMT3B,DU-145
56548,1,DU-145,CHST7,DU-145
9469,1,DU-145,CHST3,DU-145
229,1,DU-145,ALDOB,DU-145
318,1,DU-145,NUDT2,DU-145
2944,1,DU-145,GSTM1,DU-145
55301,1,DU-145,OLAH,DU-145
4123,1,DU-145,MAN2C1,DU-145
7941,1,DU-145,PLA2G7,DU-145
84920,1,DU-145,ALG10,DU-145
6580,1,DU-145,SLC22A1,DU-145
6582,1,DU-145,SLC22A2,DU-145
8140,1,DU-145,SLC7A5,DU-145
9197,1,DU-145,SLC33A1,DU-145
10723,1,DU-145,SLC12A7,DU-145
6560,1,DU-145,SLC12A4,DU-145
9990,1,DU-145,SLC12A6,DU-145
23475,1,DU-145,QPRT,DU-145
206358,1,DU-145,SLC36A1,DU-145
1891,1,DU-145,ECH1,DU-145
28231,1,DU-145,SLCO4A1,DU-145
53919,1,DU-145,SLCO1C1,DU-145
1543,1,DU-145,CYP1A1,DU-145
1544,1,DU-145,CYP1A2,DU-145
