genelistrounded,grRatio,CL,Gene,Cell Line
6571,1,COLO-205,SLC18A2,COLO-205
253430,1,COLO-205,IPMK,COLO-205
11254,1,COLO-205,SLC6A14,COLO-205
34,1,COLO-205,ACADM,COLO-205
35,1,COLO-205,ACADS,COLO-205
7498,1,COLO-205,XDH,COLO-205
31,1,COLO-205,ACACA,COLO-205
32,1,COLO-205,ACACB,COLO-205
3176,1,COLO-205,HNMT,COLO-205
9152,1,COLO-205,SLC6A5,COLO-205
1807,1,COLO-205,DPYS,COLO-205
1808,1,COLO-205,DPYSL2,COLO-205
1809,1,COLO-205,DPYSL3,COLO-205
56953,1,COLO-205,NT5M,COLO-205
316,1,COLO-205,AOX1,COLO-205
22978,1,COLO-205,NT5C2,COLO-205
3141,1,COLO-205,HLCS,COLO-205
60386,1,COLO-205,SLC25A19,COLO-205
9420,1,COLO-205,CYP7B1,COLO-205
7173,1,COLO-205,TPO,COLO-205
8897,1,COLO-205,MTMR3,COLO-205
51268,1,COLO-205,PIPOX,COLO-205
30,1,COLO-205,ACAA1,COLO-205
1757,1,COLO-205,SARDH,COLO-205
6526,1,COLO-205,SLC5A3,COLO-205
6783,1,COLO-205,SULT1E1,COLO-205
2588,1,COLO-205,GALNS,COLO-205
2720,1,COLO-205,GLB1,COLO-205
4758,1,COLO-205,NEU1,COLO-205
5476,1,COLO-205,CTSA,COLO-205
1376,1,COLO-205,CPT2,COLO-205
64078,1,COLO-205,SLC28A3,COLO-205
3156,0,COLO-205,HMGCR,COLO-205
5287,1,COLO-205,PIK3C2B,COLO-205
85365,1,COLO-205,ALG2,COLO-205
117283,1,COLO-205,IP6K3,COLO-205
51447,1,COLO-205,IP6K2,COLO-205
9807,1,COLO-205,IP6K1,COLO-205
1962,1,COLO-205,EHHADH,COLO-205
51,1,COLO-205,ACOX1,COLO-205
6535,1,COLO-205,SLC6A8,COLO-205
6537,1,COLO-205,SLC6A10P,COLO-205
8836,1,COLO-205,GGH,COLO-205
211,1,COLO-205,ALAS1,COLO-205
212,1,COLO-205,ALAS2,COLO-205
23464,1,COLO-205,GCAT,COLO-205
223,1,COLO-205,ALDH9A1,COLO-205
6723,1,COLO-205,SRM,COLO-205
125206,1,COLO-205,SLC5A10,COLO-205
159963,1,COLO-205,SLC5A12,COLO-205
200010,1,COLO-205,SLC5A9,COLO-205
6524,1,COLO-205,SLC5A2,COLO-205
6548,1,COLO-205,SLC9A1,COLO-205
6549,1,COLO-205,SLC9A2,COLO-205
6550,1,COLO-205,SLC9A3,COLO-205
10164,1,COLO-205,CHST4,COLO-205
23563,1,COLO-205,CHST5,COLO-205
4166,1,COLO-205,CHST6,COLO-205
9435,1,COLO-205,CHST2,COLO-205
1610,1,COLO-205,DAO,COLO-205
5226,1,COLO-205,PGD,COLO-205
4833,1,COLO-205,NME4,COLO-205
18,1,COLO-205,ABAT,COLO-205
9942,0.999903626,COLO-205,XYLB,COLO-205
124935,1,COLO-205,SLC43A2,COLO-205
8501,1,COLO-205,SLC43A1,COLO-205
2987,0,COLO-205,GUK1,COLO-205
11046,1,COLO-205,SLC35D2,COLO-205
23443,1,COLO-205,SLC35A3,COLO-205
84912,1,COLO-205,SLC35B4,COLO-205
19,1,COLO-205,ABCA1,COLO-205
6578,1,COLO-205,SLCO2A1,COLO-205
10087,1,COLO-205,CERT1,COLO-205
790,0,COLO-205,CAD,COLO-205
23556,1,COLO-205,PIGN,COLO-205
1588,1,COLO-205,CYP19A1,COLO-205
1571,1,COLO-205,CYP2E1,COLO-205
6583,1,COLO-205,SLC22A4,COLO-205
22928,1,COLO-205,SEPHS2,COLO-205
22929,1,COLO-205,SEPHS1,COLO-205
4953,1,COLO-205,ODC1,COLO-205
8566,1,COLO-205,PDXK,COLO-205
54480,1,COLO-205,CHPF2,COLO-205
9380,1,COLO-205,GRHPR,COLO-205
3612,1,COLO-205,IMPA1,COLO-205
3613,1,COLO-205,IMPA2,COLO-205
9415,1,COLO-205,FADS2,COLO-205
6566,0.991836891,COLO-205,SLC16A1,COLO-205
7355,1,COLO-205,SLC35A2,COLO-205
50814,0,COLO-205,NSDHL,COLO-205
9563,1,COLO-205,H6PD,COLO-205
4363,1,COLO-205,ABCC1,COLO-205
4860,1,COLO-205,PNP,COLO-205
3284,1,COLO-205,HSD3B2,COLO-205
3620,1,COLO-205,IDO1,COLO-205
10846,1,COLO-205,PDE10A,COLO-205
50940,1,COLO-205,PDE11A,COLO-205
5136,1,COLO-205,PDE1A,COLO-205
5137,1,COLO-205,PDE1C,COLO-205
5138,1,COLO-205,PDE2A,COLO-205
5139,1,COLO-205,PDE3A,COLO-205
5140,1,COLO-205,PDE3B,COLO-205
5145,1,COLO-205,PDE6A,COLO-205
5146,1,COLO-205,PDE6C,COLO-205
5147,1,COLO-205,PDE6D,COLO-205
5148,1,COLO-205,PDE6G,COLO-205
5149,1,COLO-205,PDE6H,COLO-205
5152,1,COLO-205,PDE9A,COLO-205
5153,1,COLO-205,PDE1B,COLO-205
5158,1,COLO-205,PDE6B,COLO-205
8654,1,COLO-205,PDE5A,COLO-205
160287,1,COLO-205,LDHAL6A,COLO-205
3939,1,COLO-205,LDHA,COLO-205
3945,1,COLO-205,LDHB,COLO-205
