genelistrounded,grRatio,CL,Gene,Cell Line
1376,1,A549     ,CPT2,A549
64078,1,A549     ,SLC28A3,A549
3156,0,A549     ,HMGCR,A549
5287,1,A549     ,PIK3C2B,A549
85365,1,A549     ,ALG2,A549
117283,1,A549     ,IP6K3,A549
51447,1,A549     ,IP6K2,A549
9807,1,A549     ,IP6K1,A549
1962,1,A549     ,EHHADH,A549
51,1,A549     ,ACOX1,A549
6535,1,A549     ,SLC6A8,A549
6537,1,A549     ,SLC6A10P,A549
8836,1,A549     ,GGH,A549
211,1,A549     ,ALAS1,A549
212,1,A549     ,ALAS2,A549
23464,1,A549     ,GCAT,A549
223,1,A549     ,ALDH9A1,A549
6723,1,A549     ,SRM,A549
125206,1,A549     ,SLC5A10,A549
159963,1,A549     ,SLC5A12,A549
200010,1,A549     ,SLC5A9,A549
6524,1,A549     ,SLC5A2,A549
6548,1,A549     ,SLC9A1,A549
6549,1,A549     ,SLC9A2,A549
6550,1,A549     ,SLC9A3,A549
10164,1,A549     ,CHST4,A549
23563,1,A549     ,CHST5,A549
4166,1,A549     ,CHST6,A549
9435,1,A549     ,CHST2,A549
1610,1,A549     ,DAO,A549
5226,1,A549     ,PGD,A549
4833,1,A549     ,NME4,A549
18,1,A549     ,ABAT,A549
9942,0.999880436,A549     ,XYLB,A549
124935,1,A549     ,SLC43A2,A549
8501,1,A549     ,SLC43A1,A549
2987,0,A549     ,GUK1,A549
11046,1,A549     ,SLC35D2,A549
23443,1,A549     ,SLC35A3,A549
84912,1,A549     ,SLC35B4,A549
19,1,A549     ,ABCA1,A549
6578,1,A549     ,SLCO2A1,A549
10087,1,A549     ,CERT1,A549
790,0,A549     ,CAD,A549
23556,1,A549     ,PIGN,A549
1588,1,A549     ,CYP19A1,A549
1571,1,A549     ,CYP2E1,A549
6583,1,A549     ,SLC22A4,A549
22928,1,A549     ,SEPHS2,A549
22929,1,A549     ,SEPHS1,A549
4953,1,A549     ,ODC1,A549
8566,1,A549     ,PDXK,A549
54480,1,A549     ,CHPF2,A549
9380,1,A549     ,GRHPR,A549
3612,1,A549     ,IMPA1,A549
3613,1,A549     ,IMPA2,A549
9415,1,A549     ,FADS2,A549
6566,0.991491836,A549     ,SLC16A1,A549
7355,1,A549     ,SLC35A2,A549
50814,0,A549     ,NSDHL,A549
9563,1,A549     ,H6PD,A549
4363,1,A549     ,ABCC1,A549
4860,1,A549     ,PNP,A549
3284,1,A549     ,HSD3B2,A549
3620,1,A549     ,IDO1,A549
10846,1,A549     ,PDE10A,A549
50940,1,A549     ,PDE11A,A549
5136,1,A549     ,PDE1A,A549
5137,1,A549     ,PDE1C,A549
5138,1,A549     ,PDE2A,A549
5139,1,A549     ,PDE3A,A549
5140,1,A549     ,PDE3B,A549
5145,1,A549     ,PDE6A,A549
5146,1,A549     ,PDE6C,A549
5147,1,A549     ,PDE6D,A549
5148,1,A549     ,PDE6G,A549
5149,1,A549     ,PDE6H,A549
5152,1,A549     ,PDE9A,A549
5153,1,A549     ,PDE1B,A549
5158,1,A549     ,PDE6B,A549
8654,1,A549     ,PDE5A,A549
160287,1,A549     ,LDHAL6A,A549
3939,1,A549     ,LDHA,A549
3945,1,A549     ,LDHB,A549
3948,1,A549     ,LDHC,A549
55293,1,A549     ,UEVLD,A549
92483,1,A549     ,LDHAL6B,A549
343,1,A549     ,AQP8,A549
113026,1,A549     ,PLCD3,A549
23007,1,A549     ,PLCH1,A549
23236,1,A549     ,PLCB1,A549
257068,1,A549     ,PLCXD2,A549
51196,1,A549     ,PLCE1,A549
5330,1,A549     ,PLCB2,A549
5331,1,A549     ,PLCB3,A549
5332,1,A549     ,PLCB4,A549
5333,1,A549     ,PLCD1,A549
5334,1,A549     ,PLCL1,A549
5335,1,A549     ,PLCG1,A549
5336,1,A549     ,PLCG2,A549
84812,1,A549     ,PLCD4,A549
89869,1,A549     ,PLCZ1,A549
9651,1,A549     ,PLCH2,A549
5281,1,A549     ,PIGF,A549
54872,1,A549     ,PIGG,A549
8034,0.994278837,A549     ,SLC25A16,A549
8525,1,A549     ,DGKZ,A549
9162,1,A549     ,DGKI,A549
1786,1,A549     ,DNMT1,A549
1787,1,A549     ,TRDMT1,A549
1788,1,A549     ,DNMT3A,A549
1789,1,A549     ,DNMT3B,A549
56548,1,A549     ,CHST7,A549
9469,1,A549     ,CHST3,A549
229,1,A549     ,ALDOB,A549
318,1,A549     ,NUDT2,A549
2944,1,A549     ,GSTM1,A549
55301,1,A549     ,OLAH,A549
4123,1,A549     ,MAN2C1,A549
7941,1,A549     ,PLA2G7,A549
84920,1,A549     ,ALG10,A549
6580,1,A549     ,SLC22A1,A549
6582,1,A549     ,SLC22A2,A549
8140,1,A549     ,SLC7A5,A549
9197,1,A549     ,SLC33A1,A549
10723,1,A549     ,SLC12A7,A549
6560,1,A549     ,SLC12A4,A549
9990,1,A549     ,SLC12A6,A549
23475,1,A549     ,QPRT,A549
206358,1,A549     ,SLC36A1,A549
1891,1,A549     ,ECH1,A549
28231,1,A549     ,SLCO4A1,A549
53919,1,A549     ,SLCO1C1,A549
1543,1,A549     ,CYP1A1,A549
1544,1,A549     ,CYP1A2,A549
1545,1,A549     ,CYP1B1,A549
1557,1,A549     ,CYP2C19,A549
6513,1,A549     ,SLC2A1,A549
6514,1,A549     ,SLC2A2,A549
6576,1,A549     ,SLC25A1,A549
1718,0,A549     ,DHCR24,A549
27124,1,A549     ,INPP5J,A549
3632,1,A549     ,INPP5A,A549
3633,1,A549     ,INPP5B,A549
3635,1,A549     ,INPP5D,A549
3636,1,A549     ,INPPL1,A549
56623,1,A549     ,INPP5E,A549
8867,1,A549     ,SYNJ1,A549
2806,1,A549     ,GOT2,A549
6898,1,A549     ,TAT,A549
7296,1,A549     ,TXNRD1,A549
8574,1,A549     ,AKR7A2,A549
3423,1,A549     ,IDS,A549
2184,0.996219495,A549     ,FAH,A549
2752,1,A549     ,GLUL,A549
51557,1,A549     ,LGSN,A549
1593,1,A549     ,CYP27A1,A549
7357,1,A549     ,UGCG,A549
151531,1,A549     ,UPP2,A549
7378,1,A549     ,UPP1,A549
15,1,A549     ,AANAT,A549
7083,1,A549     ,TK1,A549
7084,1,A549     ,TK2,A549
5959,1,A549     ,RDH5,A549
64802,1,A549     ,NMNAT1,A549
10861,1,A549     ,SLC26A1,A549
1811,1,A549     ,SLC26A3,A549
1836,1,A549     ,SLC26A2,A549
5337,1,A549     ,PLD1,A549
4247,1,A549     ,MGAT2,A549
10841,1,A549     ,FTCD,A549
112724,1,A549     ,RDH13,A549
145226,1,A549     ,RDH12,A549
195814,1,A549     ,SDR16C5,A549
51109,1,A549     ,RDH11,A549
57665,1,A549     ,RDH14,A549
10905,1,A549     ,MAN1A2,A549
4121,1,A549     ,MAN1A1,A549
57134,1,A549     ,MAN1C1,A549
1629,0.99198767,A549     ,DBT,A549
1738,0.718029322,A549     ,DLD,A549
593,0.99198767,A549     ,BCKDHA,A549
594,1,A549     ,BCKDHB,A549
6523,1,A549     ,SLC5A1,A549
6563,1,A549     ,SLC14A1,A549
8170,1,A549     ,SLC14A2,A549
366,1,A549     ,AQP9,A549
84720,1,A549     ,PIGO,A549
162466,1,A549     ,PHOSPHO1,A549
6470,1,A549     ,SHMT1,A549
84532,1,A549     ,ACSS1,A549
6888,0.999627455,A549     ,TALDO1,A549
2131,1,A549     ,EXT1,A549
2132,1,A549     ,EXT2,A549
2134,1,A549     ,EXTL1,A549
2137,1,A549     ,EXTL3,A549
129807,1,A549     ,NEU4,A549
4759,1,A549     ,NEU2,A549
55191,1,A549     ,NADSYN1,A549
549,0.998767869,A549     ,AUH,A549
55577,1,A549     ,NAGK,A549
6309,0,A549     ,SC5D,A549
3294,1,A549     ,HSD17B2,A549
54407,1,A549     ,SLC38A2,A549
81539,1,A549     ,SLC38A1,A549
55315,1,A549     ,SLC29A3,A549
7390,1,A549     ,UROS,A549
80055,1,A549     ,PGAP1,A549
80235,1,A549     ,PIGZ,A549
175,1,A549     ,AGA,A549
2571,1,A549     ,GAD1,A549
9453,1,A549     ,GGPS1,A549
60490,1,A549     ,PPCDC,A549
10400,1,A549     ,PEMT,A549
10554,1,A549     ,AGPAT1,A549
10555,1,A549     ,AGPAT2,A549
137964,1,A549     ,GPAT4,A549
55326,1,A549     ,AGPAT5,A549
56894,1,A549     ,AGPAT3,A549
56895,1,A549     ,AGPAT4,A549
3425,1,A549     ,IDUA,A549
9514,1,A549     ,GAL3ST1,A549
2628,1,A549     ,GATM,A549
57026,1,A549     ,PDXP,A549
5728,1,A549     ,PTEN,A549
5172,1,A549     ,SLC26A4,A549
4907,1,A549     ,NT5E,A549
3658,1,A549     ,IREB2,A549
48,1,A549     ,ACO1,A549
55650,1,A549     ,PIGV,A549
1468,1,A549     ,SLC25A10,A549
51179,1,A549     ,HAO2,A549
54363,1,A549     ,HAO1,A549
27235,1,A549     ,COQ2,A549
79087,1,A549     ,ALG12,A549
2523,1,A549     ,FUT1,A549
6581,1,A549     ,SLC22A3,A549
847,1,A549     ,CAT,A549
53947,1,A549     ,A4GALT,A549
10327,1,A549     ,AKR1A1,A549
231,1,A549     ,AKR1B1,A549
1716,1,A549     ,DGUOK,A549
50808,1,A549     ,AK3,A549
2544,1,A549     ,SLC37A4,A549
10965,1,A549     ,ACOT2,A549
953,1,A549     ,ENTPD1,A549
954,1,A549     ,ENTPD2,A549
955,1,A549     ,ENTPD6,A549
956,1,A549     ,ENTPD3,A549
957,1,A549     ,ENTPD5,A549
64841,1,A549     ,GNPNAT1,A549
55089,1,A549     ,SLC38A4,A549
28232,1,A549     ,SLCO3A1,A549
9488,1,A549     ,PIGB,A549
6715,1,A549     ,SRD5A1,A549
6716,1,A549     ,SRD5A2,A549
8443,1,A549     ,GNPAT,A549
226,1,A549     ,ALDOA,A549
230,1,A549     ,ALDOC,A549
6487,1,A549     ,ST3GAL3,A549
100,1,A549     ,ADA,A549
5372,1,A549     ,PMM1,A549
5373,1,A549     ,PMM2,A549
55276,1,A549     ,PGM2,A549
6529,1,A549     ,SLC6A1,A549
