genelistrounded,grRatio,CL,Gene,Cell Line
316,1,786-0 ,AOX1,786-0
22978,1,786-0 ,NT5C2,786-0
3141,1,786-0 ,HLCS,786-0
60386,1,786-0 ,SLC25A19,786-0
9420,1,786-0 ,CYP7B1,786-0
7173,1,786-0 ,TPO,786-0
8897,1,786-0 ,MTMR3,786-0
51268,1,786-0 ,PIPOX,786-0
30,1,786-0 ,ACAA1,786-0
1757,1,786-0 ,SARDH,786-0
6526,1,786-0 ,SLC5A3,786-0
6783,1,786-0 ,SULT1E1,786-0
2588,1,786-0 ,GALNS,786-0
2720,1,786-0 ,GLB1,786-0
4758,1,786-0 ,NEU1,786-0
5476,1,786-0 ,CTSA,786-0
1376,1,786-0 ,CPT2,786-0
64078,1,786-0 ,SLC28A3,786-0
3156,0,786-0 ,HMGCR,786-0
5287,1,786-0 ,PIK3C2B,786-0
85365,1,786-0 ,ALG2,786-0
117283,1,786-0 ,IP6K3,786-0
51447,1,786-0 ,IP6K2,786-0
9807,1,786-0 ,IP6K1,786-0
1962,1,786-0 ,EHHADH,786-0
51,1,786-0 ,ACOX1,786-0
6535,1,786-0 ,SLC6A8,786-0
6537,1,786-0 ,SLC6A10P,786-0
8836,1,786-0 ,GGH,786-0
211,1,786-0 ,ALAS1,786-0
212,1,786-0 ,ALAS2,786-0
23464,1,786-0 ,GCAT,786-0
223,1,786-0 ,ALDH9A1,786-0
6723,1,786-0 ,SRM,786-0
125206,1,786-0 ,SLC5A10,786-0
159963,1,786-0 ,SLC5A12,786-0
200010,1,786-0 ,SLC5A9,786-0
6524,1,786-0 ,SLC5A2,786-0
6548,1,786-0 ,SLC9A1,786-0
6549,1,786-0 ,SLC9A2,786-0
6550,1,786-0 ,SLC9A3,786-0
10164,1,786-0 ,CHST4,786-0
23563,1,786-0 ,CHST5,786-0
4166,1,786-0 ,CHST6,786-0
9435,1,786-0 ,CHST2,786-0
1610,1,786-0 ,DAO,786-0
5226,1,786-0 ,PGD,786-0
4833,1,786-0 ,NME4,786-0
18,1,786-0 ,ABAT,786-0
9942,0.999876159,786-0 ,XYLB,786-0
124935,1,786-0 ,SLC43A2,786-0
8501,1,786-0 ,SLC43A1,786-0
2987,0,786-0 ,GUK1,786-0
11046,1,786-0 ,SLC35D2,786-0
23443,1,786-0 ,SLC35A3,786-0
84912,1,786-0 ,SLC35B4,786-0
19,1,786-0 ,ABCA1,786-0
6578,1,786-0 ,SLCO2A1,786-0
10087,1,786-0 ,CERT1,786-0
790,0,786-0 ,CAD,786-0
23556,1,786-0 ,PIGN,786-0
1588,1,786-0 ,CYP19A1,786-0
1571,1,786-0 ,CYP2E1,786-0
6583,1,786-0 ,SLC22A4,786-0
22928,1,786-0 ,SEPHS2,786-0
22929,1,786-0 ,SEPHS1,786-0
4953,1,786-0 ,ODC1,786-0
8566,1,786-0 ,PDXK,786-0
54480,1,786-0 ,CHPF2,786-0
9380,1,786-0 ,GRHPR,786-0
3612,1,786-0 ,IMPA1,786-0
3613,1,786-0 ,IMPA2,786-0
9415,1,786-0 ,FADS2,786-0
6566,0.991534163,786-0 ,SLC16A1,786-0
7355,1,786-0 ,SLC35A2,786-0
50814,0,786-0 ,NSDHL,786-0
9563,1,786-0 ,H6PD,786-0
4363,1,786-0 ,ABCC1,786-0
4860,1,786-0 ,PNP,786-0
3284,1,786-0 ,HSD3B2,786-0
3620,1,786-0 ,IDO1,786-0
10846,1,786-0 ,PDE10A,786-0
50940,1,786-0 ,PDE11A,786-0
5136,1,786-0 ,PDE1A,786-0
5137,1,786-0 ,PDE1C,786-0
5138,1,786-0 ,PDE2A,786-0
5139,1,786-0 ,PDE3A,786-0
5140,1,786-0 ,PDE3B,786-0
5145,1,786-0 ,PDE6A,786-0
5146,1,786-0 ,PDE6C,786-0
5147,1,786-0 ,PDE6D,786-0
5148,1,786-0 ,PDE6G,786-0
5149,1,786-0 ,PDE6H,786-0
5152,1,786-0 ,PDE9A,786-0
5153,1,786-0 ,PDE1B,786-0
5158,1,786-0 ,PDE6B,786-0
8654,1,786-0 ,PDE5A,786-0
160287,1,786-0 ,LDHAL6A,786-0
3939,1,786-0 ,LDHA,786-0
3945,1,786-0 ,LDHB,786-0
3948,1,786-0 ,LDHC,786-0
55293,1,786-0 ,UEVLD,786-0
92483,1,786-0 ,LDHAL6B,786-0
343,1,786-0 ,AQP8,786-0
113026,1,786-0 ,PLCD3,786-0
23007,1,786-0 ,PLCH1,786-0
23236,1,786-0 ,PLCB1,786-0
257068,1,786-0 ,PLCXD2,786-0
51196,1,786-0 ,PLCE1,786-0
5330,1,786-0 ,PLCB2,786-0
5331,1,786-0 ,PLCB3,786-0
5332,1,786-0 ,PLCB4,786-0
5333,1,786-0 ,PLCD1,786-0
5334,1,786-0 ,PLCL1,786-0
5335,1,786-0 ,PLCG1,786-0
5336,1,786-0 ,PLCG2,786-0
84812,1,786-0 ,PLCD4,786-0
89869,1,786-0 ,PLCZ1,786-0
9651,1,786-0 ,PLCH2,786-0
5281,1,786-0 ,PIGF,786-0
54872,1,786-0 ,PIGG,786-0
8034,0.994246897,786-0 ,SLC25A16,786-0
8525,1,786-0 ,DGKZ,786-0
9162,1,786-0 ,DGKI,786-0
1786,1,786-0 ,DNMT1,786-0
1787,1,786-0 ,TRDMT1,786-0
1788,1,786-0 ,DNMT3A,786-0
1789,1,786-0 ,DNMT3B,786-0
56548,1,786-0 ,CHST7,786-0
9469,1,786-0 ,CHST3,786-0
229,1,786-0 ,ALDOB,786-0
318,1,786-0 ,NUDT2,786-0
2944,1,786-0 ,GSTM1,786-0
55301,1,786-0 ,OLAH,786-0
4123,1,786-0 ,MAN2C1,786-0
7941,1,786-0 ,PLA2G7,786-0
84920,1,786-0 ,ALG10,786-0
6580,1,786-0 ,SLC22A1,786-0
6582,1,786-0 ,SLC22A2,786-0
8140,1,786-0 ,SLC7A5,786-0
9197,1,786-0 ,SLC33A1,786-0
10723,1,786-0 ,SLC12A7,786-0
6560,1,786-0 ,SLC12A4,786-0
9990,1,786-0 ,SLC12A6,786-0
23475,1,786-0 ,QPRT,786-0
206358,1,786-0 ,SLC36A1,786-0
1891,1,786-0 ,ECH1,786-0
28231,1,786-0 ,SLCO4A1,786-0
53919,1,786-0 ,SLCO1C1,786-0
1543,1,786-0 ,CYP1A1,786-0
1544,1,786-0 ,CYP1A2,786-0
1545,1,786-0 ,CYP1B1,786-0
1557,1,786-0 ,CYP2C19,786-0
6513,1,786-0 ,SLC2A1,786-0
6514,1,786-0 ,SLC2A2,786-0
6576,1,786-0 ,SLC25A1,786-0
1718,0,786-0 ,DHCR24,786-0
27124,1,786-0 ,INPP5J,786-0
3632,1,786-0 ,INPP5A,786-0
3633,1,786-0 ,INPP5B,786-0
3635,1,786-0 ,INPP5D,786-0
3636,1,786-0 ,INPPL1,786-0
56623,1,786-0 ,INPP5E,786-0
8867,1,786-0 ,SYNJ1,786-0
2806,1,786-0 ,GOT2,786-0
6898,1,786-0 ,TAT,786-0
7296,1,786-0 ,TXNRD1,786-0
8574,1,786-0 ,AKR7A2,786-0
3423,1,786-0 ,IDS,786-0
2184,0.996803521,786-0 ,FAH,786-0
2752,1,786-0 ,GLUL,786-0
51557,1,786-0 ,LGSN,786-0
1593,1,786-0 ,CYP27A1,786-0
7357,1,786-0 ,UGCG,786-0
151531,1,786-0 ,UPP2,786-0
7378,1,786-0 ,UPP1,786-0
