genelistrounded,grRatio,CL,Gene,Cell Line
6571,1,BT-549    ,SLC18A2,BT-549
253430,1,BT-549    ,IPMK,BT-549
11254,1,BT-549    ,SLC6A14,BT-549
34,1,BT-549    ,ACADM,BT-549
35,1,BT-549    ,ACADS,BT-549
7498,1,BT-549    ,XDH,BT-549
31,1,BT-549    ,ACACA,BT-549
32,1,BT-549    ,ACACB,BT-549
3176,1,BT-549    ,HNMT,BT-549
9152,1,BT-549    ,SLC6A5,BT-549
1807,1,BT-549    ,DPYS,BT-549
1808,1,BT-549    ,DPYSL2,BT-549
1809,1,BT-549    ,DPYSL3,BT-549
56953,1,BT-549    ,NT5M,BT-549
316,1,BT-549    ,AOX1,BT-549
22978,1,BT-549    ,NT5C2,BT-549
3141,1,BT-549    ,HLCS,BT-549
60386,1,BT-549    ,SLC25A19,BT-549
9420,1,BT-549    ,CYP7B1,BT-549
7173,1,BT-549    ,TPO,BT-549
8897,1,BT-549    ,MTMR3,BT-549
51268,1,BT-549    ,PIPOX,BT-549
30,1,BT-549    ,ACAA1,BT-549
1757,1,BT-549    ,SARDH,BT-549
6526,1,BT-549    ,SLC5A3,BT-549
6783,1,BT-549    ,SULT1E1,BT-549
2588,1,BT-549    ,GALNS,BT-549
2720,1,BT-549    ,GLB1,BT-549
4758,1,BT-549    ,NEU1,BT-549
5476,1,BT-549    ,CTSA,BT-549
1376,1,BT-549    ,CPT2,BT-549
64078,1,BT-549    ,SLC28A3,BT-549
3156,0,BT-549    ,HMGCR,BT-549
5287,1,BT-549    ,PIK3C2B,BT-549
85365,1,BT-549    ,ALG2,BT-549
117283,1,BT-549    ,IP6K3,BT-549
51447,1,BT-549    ,IP6K2,BT-549
9807,1,BT-549    ,IP6K1,BT-549
1962,1,BT-549    ,EHHADH,BT-549
51,1,BT-549    ,ACOX1,BT-549
6535,1,BT-549    ,SLC6A8,BT-549
6537,1,BT-549    ,SLC6A10P,BT-549
8836,1,BT-549    ,GGH,BT-549
211,1,BT-549    ,ALAS1,BT-549
212,1,BT-549    ,ALAS2,BT-549
23464,1,BT-549    ,GCAT,BT-549
223,1,BT-549    ,ALDH9A1,BT-549
6723,1,BT-549    ,SRM,BT-549
125206,1,BT-549    ,SLC5A10,BT-549
159963,1,BT-549    ,SLC5A12,BT-549
200010,1,BT-549    ,SLC5A9,BT-549
6524,1,BT-549    ,SLC5A2,BT-549
6548,1,BT-549    ,SLC9A1,BT-549
6549,1,BT-549    ,SLC9A2,BT-549
6550,1,BT-549    ,SLC9A3,BT-549
10164,1,BT-549    ,CHST4,BT-549
23563,1,BT-549    ,CHST5,BT-549
4166,1,BT-549    ,CHST6,BT-549
9435,1,BT-549    ,CHST2,BT-549
1610,1,BT-549    ,DAO,BT-549
5226,1,BT-549    ,PGD,BT-549
4833,1,BT-549    ,NME4,BT-549
18,1,BT-549    ,ABAT,BT-549
9942,0.999849991,BT-549    ,XYLB,BT-549
124935,1,BT-549    ,SLC43A2,BT-549
8501,1,BT-549    ,SLC43A1,BT-549
2987,0,BT-549    ,GUK1,BT-549
11046,1,BT-549    ,SLC35D2,BT-549
23443,1,BT-549    ,SLC35A3,BT-549
84912,1,BT-549    ,SLC35B4,BT-549
19,1,BT-549    ,ABCA1,BT-549
6578,1,BT-549    ,SLCO2A1,BT-549
10087,1,BT-549    ,CERT1,BT-549
790,0,BT-549    ,CAD,BT-549
23556,1,BT-549    ,PIGN,BT-549
1588,1,BT-549    ,CYP19A1,BT-549
1571,1,BT-549    ,CYP2E1,BT-549
6583,1,BT-549    ,SLC22A4,BT-549
22928,1,BT-549    ,SEPHS2,BT-549
22929,1,BT-549    ,SEPHS1,BT-549
4953,1,BT-549    ,ODC1,BT-549
8566,1,BT-549    ,PDXK,BT-549
54480,1,BT-549    ,CHPF2,BT-549
9380,1,BT-549    ,GRHPR,BT-549
3612,1,BT-549    ,IMPA1,BT-549
3613,1,BT-549    ,IMPA2,BT-549
9415,1,BT-549    ,FADS2,BT-549
6566,0.991793111,BT-549    ,SLC16A1,BT-549
7355,1,BT-549    ,SLC35A2,BT-549
50814,0,BT-549    ,NSDHL,BT-549
9563,1,BT-549    ,H6PD,BT-549
4363,1,BT-549    ,ABCC1,BT-549
4860,1,BT-549    ,PNP,BT-549
3284,1,BT-549    ,HSD3B2,BT-549
3620,1,BT-549    ,IDO1,BT-549
10846,1,BT-549    ,PDE10A,BT-549
50940,1,BT-549    ,PDE11A,BT-549
5136,1,BT-549    ,PDE1A,BT-549
5137,1,BT-549    ,PDE1C,BT-549
5138,1,BT-549    ,PDE2A,BT-549
5139,1,BT-549    ,PDE3A,BT-549
5140,1,BT-549    ,PDE3B,BT-549
5145,1,BT-549    ,PDE6A,BT-549
5146,1,BT-549    ,PDE6C,BT-549
5147,1,BT-549    ,PDE6D,BT-549
5148,1,BT-549    ,PDE6G,BT-549
5149,1,BT-549    ,PDE6H,BT-549
5152,1,BT-549    ,PDE9A,BT-549
5153,1,BT-549    ,PDE1B,BT-549
5158,1,BT-549    ,PDE6B,BT-549
8654,1,BT-549    ,PDE5A,BT-549
160287,1,BT-549    ,LDHAL6A,BT-549
3939,1,BT-549    ,LDHA,BT-549
3945,1,BT-549    ,LDHB,BT-549
3948,1,BT-549    ,LDHC,BT-549
55293,1,BT-549    ,UEVLD,BT-549
92483,1,BT-549    ,LDHAL6B,BT-549
343,1,BT-549    ,AQP8,BT-549
113026,1,BT-549    ,PLCD3,BT-549
23007,1,BT-549    ,PLCH1,BT-549
23236,1,BT-549    ,PLCB1,BT-549
257068,1,BT-549    ,PLCXD2,BT-549
51196,1,BT-549    ,PLCE1,BT-549
5330,1,BT-549    ,PLCB2,BT-549
5331,1,BT-549    ,PLCB3,BT-549
5332,1,BT-549    ,PLCB4,BT-549
5333,1,BT-549    ,PLCD1,BT-549
5334,1,BT-549    ,PLCL1,BT-549
5335,1,BT-549    ,PLCG1,BT-549
5336,1,BT-549    ,PLCG2,BT-549
84812,1,BT-549    ,PLCD4,BT-549
89869,1,BT-549    ,PLCZ1,BT-549
9651,1,BT-549    ,PLCH2,BT-549
5281,1,BT-549    ,PIGF,BT-549
54872,1,BT-549    ,PIGG,BT-549
8034,0.994051494,BT-549    ,SLC25A16,BT-549
8525,1,BT-549    ,DGKZ,BT-549
9162,1,BT-549    ,DGKI,BT-549
1786,1,BT-549    ,DNMT1,BT-549
1787,1,BT-549    ,TRDMT1,BT-549
1788,1,BT-549    ,DNMT3A,BT-549
1789,1,BT-549    ,DNMT3B,BT-549
56548,1,BT-549    ,CHST7,BT-549
9469,1,BT-549    ,CHST3,BT-549
229,1,BT-549    ,ALDOB,BT-549
318,1,BT-549    ,NUDT2,BT-549
2944,1,BT-549    ,GSTM1,BT-549
55301,1,BT-549    ,OLAH,BT-549
4123,1,BT-549    ,MAN2C1,BT-549
7941,1,BT-549    ,PLA2G7,BT-549
84920,1,BT-549    ,ALG10,BT-549
6580,1,BT-549    ,SLC22A1,BT-549
6582,1,BT-549    ,SLC22A2,BT-549
8140,1,BT-549    ,SLC7A5,BT-549
9197,1,BT-549    ,SLC33A1,BT-549
10723,1,BT-549    ,SLC12A7,BT-549
6560,1,BT-549    ,SLC12A4,BT-549
9990,1,BT-549    ,SLC12A6,BT-549
23475,1,BT-549    ,QPRT,BT-549
206358,1,BT-549    ,SLC36A1,BT-549
1891,1,BT-549    ,ECH1,BT-549
28231,1,BT-549    ,SLCO4A1,BT-549
53919,1,BT-549    ,SLCO1C1,BT-549
1543,1,BT-549    ,CYP1A1,BT-549
1544,1,BT-549    ,CYP1A2,BT-549
1545,1,BT-549    ,CYP1B1,BT-549
1557,1,BT-549    ,CYP2C19,BT-549
6513,1,BT-549    ,SLC2A1,BT-549
6514,1,BT-549    ,SLC2A2,BT-549
6576,1,BT-549    ,SLC25A1,BT-549
1718,0,BT-549    ,DHCR24,BT-549
27124,1,BT-549    ,INPP5J,BT-549
3632,1,BT-549    ,INPP5A,BT-549
3633,1,BT-549    ,INPP5B,BT-549
3635,1,BT-549    ,INPP5D,BT-549
3636,1,BT-549    ,INPPL1,BT-549
56623,1,BT-549    ,INPP5E,BT-549
8867,1,BT-549    ,SYNJ1,BT-549
2806,1,BT-549    ,GOT2,BT-549
6898,1,BT-549    ,TAT,BT-549
7296,1,BT-549    ,TXNRD1,BT-549
8574,1,BT-549    ,AKR7A2,BT-549
3423,1,BT-549    ,IDS,BT-549
2184,0.996859671,BT-549    ,FAH,BT-549
2752,1,BT-549    ,GLUL,BT-549
51557,1,BT-549    ,LGSN,BT-549
1593,1,BT-549    ,CYP27A1,BT-549
7357,1,BT-549    ,UGCG,BT-549
151531,1,BT-549    ,UPP2,BT-549
7378,1,BT-549    ,UPP1,BT-549
15,1,BT-549    ,AANAT,BT-549
7083,1,BT-549    ,TK1,BT-549
7084,1,BT-549    ,TK2,BT-549
5959,1,BT-549    ,RDH5,BT-549
64802,1,BT-549    ,NMNAT1,BT-549
10861,1,BT-549    ,SLC26A1,BT-549
1811,1,BT-549    ,SLC26A3,BT-549
1836,1,BT-549    ,SLC26A2,BT-549
5337,1,BT-549    ,PLD1,BT-549
4247,1,BT-549    ,MGAT2,BT-549
10841,1,BT-549    ,FTCD,BT-549
112724,1,BT-549    ,RDH13,BT-549
145226,1,BT-549    ,RDH12,BT-549
195814,1,BT-549    ,SDR16C5,BT-549
51109,1,BT-549    ,RDH11,BT-549
57665,1,BT-549    ,RDH14,BT-549
10905,1,BT-549    ,MAN1A2,BT-549
4121,1,BT-549    ,MAN1A1,BT-549
57134,1,BT-549    ,MAN1C1,BT-549
1629,0.994061164,BT-549    ,DBT,BT-549
1738,0.795637718,BT-549    ,DLD,BT-549
593,0.994061164,BT-549    ,BCKDHA,BT-549
594,1,BT-549    ,BCKDHB,BT-549
6523,1,BT-549    ,SLC5A1,BT-549
6563,1,BT-549    ,SLC14A1,BT-549
8170,1,BT-549    ,SLC14A2,BT-549
366,1,BT-549    ,AQP9,BT-549
84720,1,BT-549    ,PIGO,BT-549
162466,1,BT-549    ,PHOSPHO1,BT-549
6470,1,BT-549    ,SHMT1,BT-549
84532,1,BT-549    ,ACSS1,BT-549
6888,0.99964267,BT-549    ,TALDO1,BT-549
2131,1,BT-549    ,EXT1,BT-549
2132,1,BT-549    ,EXT2,BT-549
2134,1,BT-549    ,EXTL1,BT-549
2137,1,BT-549    ,EXTL3,BT-549
129807,1,BT-549    ,NEU4,BT-549
4759,1,BT-549    ,NEU2,BT-549
55191,1,BT-549    ,NADSYN1,BT-549
549,0.9985395,BT-549    ,AUH,BT-549
55577,1,BT-549    ,NAGK,BT-549
6309,0,BT-549    ,SC5D,BT-549
3294,1,BT-549    ,HSD17B2,BT-549
54407,1,BT-549    ,SLC38A2,BT-549
81539,1,BT-549    ,SLC38A1,BT-549
55315,1,BT-549    ,SLC29A3,BT-549
7390,1,BT-549    ,UROS,BT-549
80055,1,BT-549    ,PGAP1,BT-549
80235,1,BT-549    ,PIGZ,BT-549
175,1,BT-549    ,AGA,BT-549
2571,1,BT-549    ,GAD1,BT-549
9453,1,BT-549    ,GGPS1,BT-549
60490,1,BT-549    ,PPCDC,BT-549
10400,1,BT-549    ,PEMT,BT-549
10554,1,BT-549    ,AGPAT1,BT-549
10555,1,BT-549    ,AGPAT2,BT-549
137964,1,BT-549    ,GPAT4,BT-549
55326,1,BT-549    ,AGPAT5,BT-549
56894,1,BT-549    ,AGPAT3,BT-549
56895,1,BT-549    ,AGPAT4,BT-549
3425,1,BT-549    ,IDUA,BT-549
9514,1,BT-549    ,GAL3ST1,BT-549
2628,1,BT-549    ,GATM,BT-549
