genelistrounded,grRatio,CL,Gene,Cell Line
203,1,ADR-RES,AK1,ADR-RES
26289,1,ADR-RES,AK5,ADR-RES
1892,1,ADR-RES,ECHS1,ADR-RES
3030,1,ADR-RES,HADHA,ADR-RES
3032,1,ADR-RES,HADHB,ADR-RES
29958,1,ADR-RES,DMGDH,ADR-RES
57379,1,ADR-RES,AICDA,ADR-RES
10090,1,ADR-RES,UST,ADR-RES
240,1,ADR-RES,ALOX5,ADR-RES
2990,1,ADR-RES,GUSB,ADR-RES
6570,1,ADR-RES,SLC18A1,ADR-RES
6571,1,ADR-RES,SLC18A2,ADR-RES
253430,1,ADR-RES,IPMK,ADR-RES
11254,1,ADR-RES,SLC6A14,ADR-RES
34,1,ADR-RES,ACADM,ADR-RES
35,1,ADR-RES,ACADS,ADR-RES
7498,1,ADR-RES,XDH,ADR-RES
31,1,ADR-RES,ACACA,ADR-RES
32,1,ADR-RES,ACACB,ADR-RES
3176,1,ADR-RES,HNMT,ADR-RES
9152,1,ADR-RES,SLC6A5,ADR-RES
1807,1,ADR-RES,DPYS,ADR-RES
1808,1,ADR-RES,DPYSL2,ADR-RES
1809,1,ADR-RES,DPYSL3,ADR-RES
56953,1,ADR-RES,NT5M,ADR-RES
316,1,ADR-RES,AOX1,ADR-RES
22978,1,ADR-RES,NT5C2,ADR-RES
3141,1,ADR-RES,HLCS,ADR-RES
60386,1,ADR-RES,SLC25A19,ADR-RES
9420,1,ADR-RES,CYP7B1,ADR-RES
7173,1,ADR-RES,TPO,ADR-RES
8897,1,ADR-RES,MTMR3,ADR-RES
51268,1,ADR-RES,PIPOX,ADR-RES
30,1,ADR-RES,ACAA1,ADR-RES
1757,1,ADR-RES,SARDH,ADR-RES
6526,1,ADR-RES,SLC5A3,ADR-RES
6783,1,ADR-RES,SULT1E1,ADR-RES
2588,1,ADR-RES,GALNS,ADR-RES
2720,1,ADR-RES,GLB1,ADR-RES
4758,1,ADR-RES,NEU1,ADR-RES
5476,1,ADR-RES,CTSA,ADR-RES
1376,1,ADR-RES,CPT2,ADR-RES
64078,1,ADR-RES,SLC28A3,ADR-RES
3156,0,ADR-RES,HMGCR,ADR-RES
5287,1,ADR-RES,PIK3C2B,ADR-RES
85365,1,ADR-RES,ALG2,ADR-RES
117283,1,ADR-RES,IP6K3,ADR-RES
51447,1,ADR-RES,IP6K2,ADR-RES
9807,1,ADR-RES,IP6K1,ADR-RES
1962,1,ADR-RES,EHHADH,ADR-RES
51,1,ADR-RES,ACOX1,ADR-RES
6535,1,ADR-RES,SLC6A8,ADR-RES
6537,1,ADR-RES,SLC6A10P,ADR-RES
8836,1,ADR-RES,GGH,ADR-RES
211,1,ADR-RES,ALAS1,ADR-RES
212,1,ADR-RES,ALAS2,ADR-RES
23464,1,ADR-RES,GCAT,ADR-RES
223,1,ADR-RES,ALDH9A1,ADR-RES
6723,1,ADR-RES,SRM,ADR-RES
125206,1,ADR-RES,SLC5A10,ADR-RES
159963,1,ADR-RES,SLC5A12,ADR-RES
200010,1,ADR-RES,SLC5A9,ADR-RES
6524,1,ADR-RES,SLC5A2,ADR-RES
6548,1,ADR-RES,SLC9A1,ADR-RES
6549,1,ADR-RES,SLC9A2,ADR-RES
6550,1,ADR-RES,SLC9A3,ADR-RES
10164,1,ADR-RES,CHST4,ADR-RES
23563,1,ADR-RES,CHST5,ADR-RES
4166,1,ADR-RES,CHST6,ADR-RES
9435,1,ADR-RES,CHST2,ADR-RES
1610,1,ADR-RES,DAO,ADR-RES
5226,1,ADR-RES,PGD,ADR-RES
4833,1,ADR-RES,NME4,ADR-RES
18,1,ADR-RES,ABAT,ADR-RES
9942,0.999874778,ADR-RES,XYLB,ADR-RES
124935,1,ADR-RES,SLC43A2,ADR-RES
8501,1,ADR-RES,SLC43A1,ADR-RES
2987,0,ADR-RES,GUK1,ADR-RES
11046,1,ADR-RES,SLC35D2,ADR-RES
23443,1,ADR-RES,SLC35A3,ADR-RES
84912,1,ADR-RES,SLC35B4,ADR-RES
19,1,ADR-RES,ABCA1,ADR-RES
6578,1,ADR-RES,SLCO2A1,ADR-RES
10087,1,ADR-RES,CERT1,ADR-RES
790,0,ADR-RES,CAD,ADR-RES
23556,1,ADR-RES,PIGN,ADR-RES
1588,1,ADR-RES,CYP19A1,ADR-RES
1571,1,ADR-RES,CYP2E1,ADR-RES
6583,1,ADR-RES,SLC22A4,ADR-RES
22928,1,ADR-RES,SEPHS2,ADR-RES
22929,1,ADR-RES,SEPHS1,ADR-RES
4953,1,ADR-RES,ODC1,ADR-RES
8566,1,ADR-RES,PDXK,ADR-RES
54480,1,ADR-RES,CHPF2,ADR-RES
9380,1,ADR-RES,GRHPR,ADR-RES
3612,1,ADR-RES,IMPA1,ADR-RES
3613,1,ADR-RES,IMPA2,ADR-RES
9415,1,ADR-RES,FADS2,ADR-RES
6566,0.992122536,ADR-RES,SLC16A1,ADR-RES
7355,1,ADR-RES,SLC35A2,ADR-RES
50814,0,ADR-RES,NSDHL,ADR-RES
9563,1,ADR-RES,H6PD,ADR-RES
4363,1,ADR-RES,ABCC1,ADR-RES
4860,1,ADR-RES,PNP,ADR-RES
3284,1,ADR-RES,HSD3B2,ADR-RES
3620,1,ADR-RES,IDO1,ADR-RES
10846,1,ADR-RES,PDE10A,ADR-RES
50940,1,ADR-RES,PDE11A,ADR-RES
5136,1,ADR-RES,PDE1A,ADR-RES
5137,1,ADR-RES,PDE1C,ADR-RES
5138,1,ADR-RES,PDE2A,ADR-RES
5139,1,ADR-RES,PDE3A,ADR-RES
5140,1,ADR-RES,PDE3B,ADR-RES
5145,1,ADR-RES,PDE6A,ADR-RES
5146,1,ADR-RES,PDE6C,ADR-RES
5147,1,ADR-RES,PDE6D,ADR-RES
5148,1,ADR-RES,PDE6G,ADR-RES
5149,1,ADR-RES,PDE6H,ADR-RES
5152,1,ADR-RES,PDE9A,ADR-RES
5153,1,ADR-RES,PDE1B,ADR-RES
5158,1,ADR-RES,PDE6B,ADR-RES
8654,1,ADR-RES,PDE5A,ADR-RES
160287,1,ADR-RES,LDHAL6A,ADR-RES
3939,1,ADR-RES,LDHA,ADR-RES
3945,1,ADR-RES,LDHB,ADR-RES
3948,1,ADR-RES,LDHC,ADR-RES
55293,1,ADR-RES,UEVLD,ADR-RES
92483,1,ADR-RES,LDHAL6B,ADR-RES
343,1,ADR-RES,AQP8,ADR-RES
113026,1,ADR-RES,PLCD3,ADR-RES
23007,1,ADR-RES,PLCH1,ADR-RES
23236,1,ADR-RES,PLCB1,ADR-RES
257068,1,ADR-RES,PLCXD2,ADR-RES
51196,1,ADR-RES,PLCE1,ADR-RES
5330,1,ADR-RES,PLCB2,ADR-RES
5331,1,ADR-RES,PLCB3,ADR-RES
5332,1,ADR-RES,PLCB4,ADR-RES
5333,1,ADR-RES,PLCD1,ADR-RES
5334,1,ADR-RES,PLCL1,ADR-RES
5335,1,ADR-RES,PLCG1,ADR-RES
5336,1,ADR-RES,PLCG2,ADR-RES
84812,1,ADR-RES,PLCD4,ADR-RES
89869,1,ADR-RES,PLCZ1,ADR-RES
9651,1,ADR-RES,PLCH2,ADR-RES
5281,1,ADR-RES,PIGF,ADR-RES
54872,1,ADR-RES,PIGG,ADR-RES
8034,0.993273536,ADR-RES,SLC25A16,ADR-RES
