GENE,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
ABCC1_DU-145,0.032254167,0,0.341012152,0,0,0.00874169,0.153122867,0,0,0.0094686,0.35234075,0,0.025963,0,0,0.993233103,0,-1.8975807,0.285072778,0.606472633,0.381501,0,0,0,0.0101703,0.00832125,4.87E-05,0.010890905,0.010012,0,1.16389105,0,0,0.97029175,-0.001838533,0.001633,0,0,0.001486429,6.7E-05,0.849360815,0,8.56E-05,0,0.010649556,0,0.006603455,0.009424952,0.047923,0.499396163,0,0.84790448,0.015018448,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,6.278,AB,SC,0.304784299,1.5,NEUTRAL,NEUT,NEUTRAL
ABCC1_PC-3,0.029532667,0,0.915860727,0,0,0.00913831,0.5773332,0,0,0.0074649,0.324420694,0,0.02684656,0,0,0.906849966,0,-1.9393894,0.235009556,0.410103367,0.439822036,0,0,0,0.0099777,0.0086535,4.77E-05,0.010850476,0.010711,0,1.05,0,0,1.336672,-0.001916267,-0.0073641,0,0,0.001545714,6.97E-05,2.333333333,0,8.9E-05,0,0.010631111,0,0.006867182,0.009420952,0.04784,-0.005774512,0,1.68592224,0.01417231,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,5.732,AB,SC,0.304784299,1.5,NEUTRAL,NEUT,NEUTRAL
ABCC3_DU-145,0.032254167,0,1.274132273,0,0,0.00874169,0.153122867,0,0,0.0094686,0.35289625,0,0.0258158,0,0,0.993233103,0,-2.1541462,0,0.606472633,0.177982571,0,0,0,0.0101703,0.00832125,4.87E-05,0.010890905,0.010012,0,0.9330835,0,0,1.45910325,-0.001838533,-2.098367,0,0,0.001486429,-4.47E-05,0.526156889,0,8.56E-05,0,0.010649556,0,0.006603455,0.009424952,0.047923,0.01102407,0,0.84592524,0.015018414,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,4.169925001,8.463,AB,SC,-0.77185111,4.8,NEUTRAL,GAIN,NEUTRAL
ABCC3_PC-3,0.02539525,0,1.910491515,0,0,0.00913831,0.5773332,0,0,0.00498245,0.322046,0,0.0268466,0.117187034,0,0.906849966,0,1.8451563,0.003511667,0.410103367,0.719525214,0,0,0,0.0099777,0.0086535,4.77E-05,0.010850476,0.010711,0,-1.02887735,0,0,1.431643,-0.001916267,-0.0073641,0,0,0.001545714,-4.65E-05,-0.777777778,0,8.9E-05,0,0.010631111,0,0.006867182,0.009420952,0.04784,-0.003761791,0,1.68592224,0.01417231,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,4.169925001,5.923,AB,SC,-0.77185111,4.8,NEUTRAL,GAIN,NEUTRAL
ABCC4_DU-145,0.03225425,0,1.852932848,0,0,0.00874169,0.153122733,0,0,0.0214034,0.393573861,0,0.0258158,0.049908483,0,0.993233103,0,-2.1541462,0,0.606472633,0.644232321,0,0,0,0.0101703,0.00832125,4.87E-05,0.010890905,0.010012,0,1.0356083,0,0,0.669009,-0.001838533,-0.0070047,0,0,0.001486429,-4.47E-05,-0.01471037,0,8.56E-05,0,0.010649556,0,0.006603455,0.009424952,0.047923,0.01102407,0,1.60994204,0.097400621,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,6.601,AB,SC,1.587733235,0.864864865,NEUTRAL,NEUT,NEUTRAL
ABCC4_PC-3,0.029532667,0,1.910272212,0,0,0.00913831,0.5773332,0,0,0.0096071,0.292402944,0,0.02684656,0.117187034,0,0.906849966,0,-2.150898,0,0.412245567,0.816228821,0,0,0,0.0099777,0.0086535,4.77E-05,0.010850476,0.010711,0,1.06271395,0,0,0.84103775,-0.001916267,-2.0984015,0,0,0.001545714,6.97E-05,-0.10601,0,8.9E-05,0,0.010631111,0,0.006867182,0.009420952,0.04784,0.011,0,1.68761116,0.014172345,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,6.051,AB,SC,1.587733235,0.864864865,NEUTRAL,NEUT,NEUTRAL
ABCC5_DU-145,0.03225425,0,1.852932848,0,0,0.00874169,0.153122733,0,0,0.0214034,0.393573861,0,0.0258158,0.049908483,0,0.993233103,0,-2.1541462,0,0.606472633,0.644232321,0,0,0,0.0101703,0.00832125,4.87E-05,0.010890905,0.010012,0,1.0356083,0,0,0.669009,-0.001838533,-0.0070047,0,0,0.001486429,-4.47E-05,-0.01471037,0,8.56E-05,0,0.010649556,0,0.006603455,0.009424952,0.047923,0.01102407,0,1.60994204,0.097400621,17,6,11,13,10,5,10,100,15,15,100,9,17,7,100,10,10,10,100,4,11,11,11,11,100,14,100,100,100,100,100,100,14,14,100,11,100,100,100,14,14,12,11,100,18,12,14,11,12,16,100,11,11,11,11,100,100,12,10,12,12,16,12,15,100,100,11,15,100,12,17,100,100,15,15,100,12,1917,1213,4.169925001,3.214,AB,SC,0.292837962,3.6,NEUTRAL,GAIN,NEUTRAL
ABCC5_PC-3,0.029532667,0,1.910272212,0,0,0.00913831,0.5773332,0,0,0.0096071,0.292402944,0,0.02684656,0.117187034,0,0.906849966,0,-2.150898,0,0.412245567,0.816228821,0,0,0,0.0099777,0.0086535,4.77E-05,0.010850476,0.010711,0,1.06271395,0,0,0.84103775,-0.001916267,-2.0984015,0,0,0.001545714,6.97E-05,-0.10601,0,8.9E-05,0,0.010631111,0,0.006867182,0.009420952,0.04784,0.011,0,1.68761116,0.014172345,17,6,11,13,10,5,10,100,15,15,100,9,17,7,100,10,10,10,100,4,11,11,11,11,100,14,100,100,100,100,100,100,14,14,100,11,100,100,100,14,14,12,11,100,18,12,14,11,12,16,100,11,11,11,11,100,100,12,10,12,12,16,12,15,100,100,11,15,100,12,17,100,100,15,15,100,12,1917,1213,4.169925001,3.104,AB,SC,0.292837962,3.6,NEUTRAL,GAIN,NEUTRAL
ABO_DU-145,-0.048378,0,1.274132273,0,0,0.00874169,0.153122867,0,0,0.0064849,0.618804278,0,0.0258158,0,0,1.001084552,0,-2.1254096,0,0.635545733,0.163092393,0,0,0,0.0101703,0.00832125,4.87E-05,0.010890905,0.010012,0,0.937846,0,0,1.45910325,-0.001838533,-1.9177425,0,0,0.001486429,6.7E-05,-0.384406556,0,8.56E-05,0,0.010649556,0,0.006603455,0.009424952,0.047923,0.01102407,0,0.84790448,0.015018414,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,2.286,BB,NO,-2.489160453,10.25,DOWNREG,GAIN,NEUTRAL
ABO_PC-3,0.029532667,0,1.274127879,0,0,0.00913831,0.5773332,0,0,0.0074649,0.335721361,0,0.02684656,0.117187034,0,0.906849966,0,-2.150898,0,0.410103367,0.372762214,0,0,0,0.0099777,0.0086535,4.77E-05,0.010850476,0.010711,0,1.06271395,0,0,1.278072,-0.001916267,-2.0984015,0,0,0.001545714,-4.65E-05,0.424149185,0,8.9E-05,0,0.010631111,0,0.006867182,0.009420952,0.04784,-0.005278,0,0.84790064,0.014172345,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,2.349,BB,NO,-2.489160453,10.25,DOWNREG,GAIN,NEUTRAL
