
breast,79.78533050873476,0.6001540832049307,0.6001540832049307,0.8001017293997966,0.8012912482065997,0.7957532861476239,0.9550698239222831,0.6676628810520023
breast
breast
breast,89.1147339657978,0.8220338983050848,0.8220338983050848,0.9036343612334802,0.9121851599727706,0.8068756319514662,0.9915407854984893,0.8067429259482239
breast
nsclc,90.14492753623189,0.7316784869976359,0.7316784869976359,0.9216634429400387,0.8820203543158688,0.8536922015182885,0.7882547559966915,0.9657449442839455
nsclc
nsclc
nsclc,97.00268794948641,0.9101654846335697,0.9101654846335697,0.9720550300945829,0.9646052119797743,0.8989830508474577,0.9209775967413442,0.9916033586565374
nsclc
melanoma,86.9879339846553,0.678714859437751,0.678714859437751,0.8540284360189574,0.8640139921294272,0.8325242718446602,0.9800580130529369,0.7211678832116788
melanoma
melanoma
melanoma,95.67035670356704,0.9231927710843374,0.9231927710843374,0.954945441745864,0.9717018732562774,0.8720787207872078,0.9985277880014721,0.9076693968726731
melanoma
complex,65.94902463334756,0.5311020408163265,0.5311020408163265,0.6403262092238471,0.6367545335576743,0.6551331339883241,0.7776639344262294,0.5830195138651146
complex
complex,62.406852248393996,0.4921632653061224,0.4921632653061224,0.625,0.5924003707136237,0.6275517487508923,0.739454732510288,0.5496130696474635
complex
complex
leukemia,80.77192982456141,0.7868217054263565,0.7868217054263565,0.7636195752539242,0.7631874298540966,0.6596491228070176,0.8438775510204082,0.7367280606717227
leukemia
leukemia,64.73684210526316,0.6182170542635659,0.6182170542635659,0.6439114391143911,0.6478711162255465,0.6514084507042254,0.7554112554112554,0.5762538382804504
leukemia
leukemia
colon,96.88994832395848,0.8997772828507795,0.8997772828507795,0.9680025856496444,0.9853264856933236,0.9138028169014084,0.9993326659993327,0.9154737559645535
colon
colon,90.88659412891495,0.75,0.75,0.9183098591549295,0.9437929640113223,0.8758542141230068,0.9822564445932374,0.7993150684931507
colon
colon
prostate,67.52293577981652,0.48643410852713176,0.48643410852713176,0.5840407470288626,0.801292407108239,0.6636085626911316,0.6490566037735849,0.9084249084249084
prostate
prostate,61.800883452259605,0.48255813953488375,0.48255813953488375,0.5223880597014925,0.7201166180758017,0.6584615384615384,0.5313092979127134,0.8502581755593804
prostate
prostate
ovarian,76.22201192142637,0.7727272727272727,0.7727272727272727,0.761447145279819,0.7718768859384431,0.5968586387434555,0.8340557275541794,0.8130959949141767
ovarian
ovarian,64.31865828092243,0.5909090909090909,0.5909090909090909,0.6084828711256117,0.6347087378640776,0.5545073375262054,0.6937383756974581,0.6783398184176395
ovarian
ovarian
cns,86.9090288445127,0.8606271777003485,0.8606271777003485,0.8121019108280255,0.834983498349835,0.8563829787234043,0.8146964856230032,0.793103448275862
cns
cns,79.3525641025641,0.7526132404181185,0.7526132404181185,0.7186544342507645,0.7133757961783439,0.7076923076923077,0.7057057057057058,0.6607669616519174
cns
cns
breast,80.70965230928905,0.5832049306625577,0.5832049306625577,0.8108247422680411,0.7868613138686131,0.5832049306625577,0.9556500607533414,0.6601347213717085,CNV
breast
breast
breast,89.26143611339987,0.8012326656394453,0.8012326656394453,0.8870431893687707,0.8734587929915639,0.8012326656394453,0.9792176039119804,0.7964497041420118,CNV
breast
nsclc,89.91828691106384,0.735224586288416,0.735224586288416,0.9027052681537732,0.8932319942091929,0.735224586288416,0.7968160871386678,0.9595645412130639,CNV
nsclc
nsclc
nsclc,96.87952522905017,0.9060283687943262,0.9060283687943262,0.9801809564842741,0.9581573896353167,0.9060283687943262,0.9278140293637847,0.9920508744038156,CNV
nsclc
melanoma,86.56952034001215,0.713855421686747,0.713855421686747,0.8622250970245795,0.8847517730496454,0.713855421686747,0.9787077826725403,0.7303329674350532,CNV
melanoma
melanoma
melanoma,95.79744821946659,0.9357429718875502,0.9357429718875502,0.952550838387442,0.9624560031286664,0.9357429718875502,0.9936732415333084,0.9037825927286081,CNV
melanoma
complex,66.22136982962346,0.5351020408163265,0.5351020408163265,0.6341821743388834,0.6417341148013768,0.5351020408163265,0.7761794674201558,0.5825029555818274,CNV
complex
complex,63.28443450146401,0.4855510204081633,0.4855510204081633,0.6130646083476272,0.5982134549176514,0.4855510204081633,0.7388458225667528,0.5446458827516095,CNV
complex
complex
leukemia,77.7327479455139,0.7936046511627907,0.7936046511627907,0.7325256290773532,0.7706725468577729,0.7936046511627907,0.8506493506493507,0.7161885245901639,CNV
leukemia
leukemia,67.41765408285112,0.6133720930232558,0.6133720930232558,0.6617781851512373,0.6233333333333333,0.6133720930232558,0.7584033613445378,0.5718654434250765,CNV
leukemia
leukemia
colon,96.75184554230552,0.9170378619153675,0.9170378619153675,0.9741351438732622,0.9843920145190562,0.9170378619153675,1.0,0.9205702647657842,CNV
colon
colon,91.23328912669012,0.7288418708240535,0.7288418708240535,0.9134495641344956,0.9354707792207791,0.7288418708240535,0.9848942598187311,0.8025766016713092,CNV
colon
colon
prostate,64.88843583644808,0.5038759689922481,0.5038759689922481,0.6052631578947368,0.7619047619047619,0.5038759689922481,0.5948275862068966,0.933852140077821,CNV
prostate
prostate,65.06922810661128,0.4418604651162791,0.4418604651162791,0.5591216216216216,0.7332214765100672,0.4418604651162791,0.6018181818181818,0.8687872763419483,CNV
prostate
prostate
