Gene,Cell Line,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,grRatio,TCGA_annot,CNV,SURV
CSAD,HCT-116,0.017280167,0,1.274163273,0,0,0.010169,0.529930667,0,0,0.00685995,0.320830611,0,0.0295258,0.138871379,0,1.053387517,0,-2.1275437,0.009663444,0.744367667,0.730181893,0,0,0,0.0094764,0.0095175,4.50E-05,0.010745238,0.0125285,0,1.0274932,0,0,0.95021875,-0.002118733,0.0015085,0,0,0.0017,7.66E-05,3.102209815,0,9.78E-05,0,0.010583111,0,0.007552545,0.009410667,0.047624,0.43688386,0,0.84597632,0.011973483,13,7,10,13,10,6,11,100,16,14,100,10,18,14,100,11,11,4,100,11,8,12,12,12,100,12,100,100,100,100,100,100,15,13,100,3,100,100,100,12,15,13,12,100,14,11,14,11,5,15,100,13,12,12,5,100,100,9,11,13,13,13,13,13,100,100,12,16,100,4,15,100,100,13,16,100,13,1918,1186,1.321928095,2.317,CL,IN,0.378254812,1.454545455,1.0000000,NEUTRAL,NEUT,NEUTRAL
CS,COLO-205,0.01998575,0,1.585620879,0,0,0.009782881,0.0009376,0,0,0.0067585,0.323628722,0,0.028522,0,0,0.983113379,0,2.4479448,0.746768111,0.5852616,0.302187357,0,0,0,0.0096642,0.0091935,4.60E-05,0.010784667,0.0118475,0,0.4810004,0,0,1.50476425,-0.002042933,-1.876832,0,0,0.001642286,7.41E-05,-0.517698148,0,9.45E-05,0,0.010601111,0,0.007295727,0.009414476,0.047705,0.005450744,0,0.8459174,-0.025422345,10,6,6,4,3,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,6,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,5,4,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,7,100,100,11,7,100,9,6,100,100,7,7,100,6,1823,1086,6.584962501,11.201,AO,CC,-0.370183167,1.454545455,1.0000000,NEUTRAL,NEUT,NEUTRAL
CSGALNACT1,COLO-205,0.011844333,0,1.274113818,0,0,0.010407595,0.769467333,0,0,0.0025,0.437322667,0,0.0301456,0.202778,0,0.983236517,0,1.786558,0,0.5839182,0.760352357,0,0,0,0.0093603,0.009717,4.44E-05,0.010720857,0.012949,0,-1.0318616,0,0,1.8101115,-0.002165533,-2.0985125,0,0,0.002953286,7.83E-05,-0.777777778,0,9.99E-05,0,0.010572,0,0.007711,0.009408381,0.047574,-0.065702093,0,0.84591272,0.011464724,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,3.548436625,7.755,BO,NO,0.296975816,0.00025,1.0000000,NEUTRAL,LOSS,NEUTRAL
CSGALNACT1,HCC2998,0.022307833,0,1.274122939,0,0,0.009588524,0.599747667,0,0,0.0049817,0.395325917,0,0.0280164,0.160554207,0,0.960957414,0,1.7941562,0,0.532684967,0.732355857,0,0,0,0.0097587,0.00903075,4.65E-05,0.010804429,0.0115045,0,-1.03080435,0,0,1.51942925,-0.002004733,-2.0371057,0,0,0.001613143,-4.85E-05,-0.777777778,0,9.28E-05,0,0.01061,0,0.007166455,0.009416571,0.047745,-0.042273907,0,0.84591888,0.010034241,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,3.548436625,2.747,BO,NO,0.296975816,0.00025,1.0000000,NEUTRAL,LOSS,NEUTRAL
CSGALNACT1,HCT-116,0.017830833,0,1.274163273,0,0,0.010169,0.529930667,0,0,0.0049807,0.244312889,0,0.0295258,0.138871379,0,1.053387517,0,-0.7349447,0.953884222,0.741861967,0.41922,0,0,0,0.0094764,0.0095175,4.50E-05,0.010745238,0.0125285,0,1.180366,0,0,0.94555025,-0.002118733,-2.0984915,0,0,0.002545714,-5.11E-05,-0.492213333,0,9.78E-05,0,0.010583111,0,0.007552545,0.009410667,0.047624,-0.027392419,0,0.84795256,0.139803241,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,3.548436625,2.841,BO,NO,0.296975816,0.00025,1.0000000,NEUTRAL,LOSS,NEUTRAL
CS,HCC2998,0.029687917,0,0.28690097,0,0,0.009115714,0.018148,0,0,0.0095992,0.305000333,0,0.02696236,0,0,0.960864207,0,2.4253435,0.711945222,0.534042633,-0.06058625,0,0,0,0.0099885,0.00863475,4.78E-05,0.010852667,0.010671,0,-0.71006485,0,0,1.85782625,-0.001912,-1.5963866,0,0,0.001542429,6.95E-05,-0.569990556,0,8.88E-05,0,0.010632,0,0.006852091,0.009421143,0.047844,0.011001279,0,0.8459224,-0.017880621,10,6,6,4,3,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,6,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,5,4,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,7,100,100,11,7,100,9,6,100,100,7,7,100,6,1823,1086,6.584962501,10.489,AO,CC,-0.370183167,1.454545455,1.0000000,NEUTRAL,NEUT,NEUTRAL
CS,HCT-116,0.02045975,0,0.638430576,0,0,0.00976,0.0266222,0,0,0.0049814,0.400499667,0,0.0284626,0,0,1.053306897,0,-1.6188981,0.464659667,0.7411899,1.017531071,0,0,0,0.0096753,0.00917475,4.61E-05,0.010787,0.0118075,0,1.05422395,0,0,1.4192785,-0.0020384,-0.007928,0,0,0.002788429,7.39E-05,-0.821064481,0,9.43E-05,0,0.010602222,0,0.007280545,0.009414857,0.04771,-0.017140186,0,1.68789472,-0.012183724,10,6,6,4,3,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,6,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,5,4,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,7,100,100,11,7,100,9,6,100,100,7,7,100,6,1823,1086,6.584962501,10.373,AO,CC,-0.370183167,1.454545455,1.0000000,NEUTRAL,NEUT,NEUTRAL
CTH,COLO-205,0.016688333,0,0.627207061,0,0,0.010407595,0.769467333,0,0,0.0049803,0.300352306,0,0.03014556,0,0,0.983236517,0,2.6662581,0.983903333,0.5839182,0.960370143,0,0,0,0.0093603,0.009717,4.44E-05,0.010720857,0.012949,0,-0.45556045,0,0,0.95937375,-0.002165533,-0.008515,0,0,0.001735714,7.83E-05,-0.031308259,0,9.99E-05,0,0.010572,0,0.007711,0.009408381,0.047574,-0.06625886,0,1.6710546,0.118151207,12,6,9,12,9,5,10,100,15,13,100,9,17,13,100,10,10,3,100,10,7,11,11,11,100,11,100,100,100,100,100,100,14,12,100,2,100,100,100,11,14,12,11,100,13,10,13,10,4,14,100,12,11,11,4,100,100,8,10,12,12,12,12,12,100,100,11,15,100,3,14,100,100,12,15,100,12,1890,1162,2.292781749,3.425,AJ,CA,-0.580232541,0.001111111,1.0000000,NEUTRAL,LOSS,NEUTRAL
CTH,HCC2998,0.026443833,0,0.854024212,0,0,0.009588524,0.599747733,0,0,0.00746335,0.261544944,0,0.0280164,0,0,0.962603828,0,2.4770552,0.764291444,0.532684967,0.4697915,0,0,0,0.0097587,0.00903075,4.65E-05,0.010804429,0.0115045,0,-0.68687315,0,0,1.26678975,-0.002004733,-0.0077723,0,0,0.001613143,7.27E-05,0.85549463,0,9.28E-05,0,0.01061,0,0.007166455,0.009416571,0.047745,0.43462286,0,1.68561676,0.010034241,12,6,9,12,9,5,10,100,15,13,100,9,17,13,100,10,10,3,100,10,7,11,11,11,100,11,100,100,100,100,100,100,14,12,100,2,100,100,100,11,14,12,11,100,13,10,13,10,4,14,100,12,11,11,4,100,100,8,10,12,12,12,12,12,100,100,11,15,100,3,14,100,100,12,15,100,12,1890,1162,2.292781749,9.767,AJ,CA,-0.580232541,0.001111111,1.0000000,NEUTRAL,LOSS,NEUTRAL
CTH,HCT-116,0.018324167,0,0.902324879,0,0,0.010169,0.529930667,0,0,0.0049807,0.266496444,0,0.0295258,0,0,1.053732345,0,-1.6107378,0.467332556,0.741861967,0.527602393,0,0,0,0.0094764,0.0095175,4.50E-05,0.010745238,0.0125285,0,1.0589454,0,0,1.8853905,-0.002118733,-0.0048424,0,0,0.0017,-5.11E-05,0.738924778,0,9.78E-05,0,0.010583111,0,0.007552545,0.009410667,0.047624,-0.051488233,0,1.68757236,0.140007379,12,6,9,12,9,5,10,100,15,13,100,9,17,13,100,10,10,3,100,10,7,11,11,11,100,11,100,100,100,100,100,100,14,12,100,2,100,100,100,11,14,12,11,100,13,10,13,10,4,14,100,12,11,11,4,100,100,8,10,12,12,12,12,12,100,100,11,15,100,3,14,100,100,12,15,100,12,1890,1162,2.292781749,7.841,AJ,CA,-0.580232541,0.001111111,1.0000000,NEUTRAL,LOSS,NEUTRAL
